127.0.0.1 - - [04/May/2022:20:18:14 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [04/May/2022:20:18:20 +0900] "GET /myboard/ HTTP/1.1" 200 11522
0:0:0:0:0:0:0:1 - - [04/May/2022:20:18:21 +0900] "GET /myboard/css/egovframework/sample.css;jsessionid=B8FEF47A55678E1340AA5320F8B3C84F HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [04/May/2022:20:18:21 +0900] "GET /myboard/images/egovframework/example/title_dot.gif;jsessionid=B8FEF47A55678E1340AA5320F8B3C84F HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [04/May/2022:20:18:21 +0900] "GET /myboard/images/egovframework/example/btn_bg_r.gif;jsessionid=B8FEF47A55678E1340AA5320F8B3C84F HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [04/May/2022:20:18:21 +0900] "GET /myboard/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [04/May/2022:20:18:21 +0900] "GET /myboard/images/egovframework/cmmn/btn_page_next1.gif HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [04/May/2022:20:18:21 +0900] "GET /myboard/images/egovframework/cmmn/btn_page_next10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [04/May/2022:20:18:21 +0900] "GET /myboard/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [04/May/2022:20:18:21 +0900] "GET /myboard/images/egovframework/example/btn_bg_l.gif HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/May/2022:20:18:21 +0900] "GET /myboard/images/egovframework/example/th_bg.gif HTTP/1.1" 200 283
